ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1002.4417542295142	49.266666666666666	9.0	44.93333333333333	33.03333333333333	1000.1618326531135	0	0	78	9	72	52	25	9	22	17	0	0	1016.0829484462738	30	1016.0829484462738	30	0.0	
1001.247269664318	39.333333333333336	9.0	35.166666666666664	25.866666666666667	1000.0432002357205	1	0	48	9	44	32	32	9	28	21	0	0	404.6498370170593	60	1420.7327854633331	58	3.3333333333333286	
1001.4041841624581	38.766666666666666	9.0	33.53333333333333	24.6	1000.0	2	0	48	9	44	32	32	9	28	21	0	0	1384.5089707374573	90	2805.2417562007904	85	5.555555555555557	
1000.8197844687842	39.03333333333333	9.0	33.56666666666667	24.6	1000.0	3	0	50	9	49	36	33	9	28	21	0	0	1222.3620026111603	120	4027.6037588119507	108	10.0	
1001.4508998420196	38.06666666666667	9.0	33.266666666666666	24.5	1000.0	4	0	48	9	50	37	32	9	26	20	0	0	1133.3352484703064	150	5160.939007282257	131	12.666666666666671	
1001.7758878373279	38.333333333333336	9.0	33.9	24.966666666666665	1000.0	5	0	48	9	50	37	28	9	22	17	0	0	1541.0365867614746	180	6701.975594043732	155	13.888888888888886	
1000.8061370563745	38.2	9.0	32.3	23.766666666666666	1000.0	6	0	50	9	46	34	28	9	22	17	0	0	1250.0910031795502	210	7952.066597223282	180	14.285714285714292	
1000.7885219581129	37.93333333333333	9.0	31.166666666666668	23.0	1000.0	7	0	49	9	44	32	30	9	26	19	0	0	1855.6050488948822	240	9807.671646118164	201	16.25	
1000.8174132644241	37.96666666666667	9.0	31.333333333333332	23.133333333333333	1000.0	8	0	48	9	50	37	29	9	24	18	0	0	2388.0082569122314	270	12195.679903030396	221	18.148148148148152	
1001.2188722132134	38.13333333333333	9.0	33.5	24.8	1000.0	9	0	50	9	52	39	31	9	28	20	0	0	2271.515689611435	300	14467.19559264183	246	18.0	
